trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.5, 'e': 0.37157669102204571}",20,-13,-69.51238463552383,"{0: 27, 1: 2, 2: 0, 3: 3, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,10,13.907350276942212,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36421897957152333}",25,7,-32.7123423068163,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,-5,32.865129288164795,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.35700696056914738}",30,-8,-58.91273156225798,"{0: 32, 1: 1, 2: 3, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",30,6,35.9615939347818,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.34993774911115533}",30,4,0.4597237153869005,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",25,11,-61.55587702273464,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,-16,30.981511951571385,"{0: 33, 1: 0, 2: 3, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.33959552564493911}",20,-27,-65.70107496369263,"{0: 40, 1: 0, 2: 4, 3: 1, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.33621649370673329}",20,12,13.693151006016238,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,13,12.972734808280896,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",35,15,-33.564966840665015,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
